Using GPU 2
Start training: lr 0.010000, batch size 10
Checkpoint: ../checkpoints/
[15/41] 17500), Loss: 0.072, mAP 93.56%
[15/41] 17600), Loss: 0.035, mAP 90.58%
[15/41] 17700), Loss: 0.074, mAP 96.16%
[15/41] 17800), Loss: 0.029, mAP 93.54%
[15/41] 17900), Loss: 0.064, mAP 92.62%
[15/41] 18000), Loss: 0.047, mAP 91.71%
[16/41] 18100), Loss: 0.111, mAP 94.59%
[16/41] 18200), Loss: 0.044, mAP 91.74%
[16/41] 18300), Loss: 0.094, mAP 92.28%
[16/41] 18400), Loss: 0.034, mAP 92.41%
[16/41] 18500), Loss: 0.055, mAP 92.65%
[16/41] 18600), Loss: 0.066, mAP 92.44%
[16/41] 18700), Loss: 0.068, mAP 94.03%
[16/41] 18800), Loss: 0.080, mAP 92.69%
[16/41] 18900), Loss: 0.063, mAP 93.86%
[16/41] 19000), Loss: 0.109, mAP 93.18%
[16/41] 19100), Loss: 0.070, mAP 91.81%
[16/41] 19200), Loss: 0.071, mAP 92.63%
Saved: ../checkpoints/
TESTING: 19248), mAP 92.79%
[17/41] 19300), Loss: 0.068, mAP 91.23%
[17/41] 19400), Loss: 0.038, mAP 94.16%
[17/41] 19500), Loss: 0.047, mAP 90.78%
[17/41] 19600), Loss: 0.081, mAP 94.22%
[17/41] 19700), Loss: 0.062, mAP 94.15%
[17/41] 19800), Loss: 0.029, mAP 94.55%
[17/41] 19900), Loss: 0.049, mAP 93.80%
[17/41] 20000), Loss: 0.082, mAP 92.98%
[17/41] 20100), Loss: 0.114, mAP 91.95%
[17/41] 20200), Loss: 0.065, mAP 91.38%
[17/41] 20300), Loss: 0.054, mAP 93.77%
[17/41] 20400), Loss: 0.069, mAP 94.24%
[18/41] 20500), Loss: 0.037, mAP 92.79%
[18/41] 20600), Loss: 0.097, mAP 92.34%
[18/41] 20700), Loss: 0.045, mAP 92.23%
[18/41] 20800), Loss: 0.040, mAP 95.32%
[18/41] 20900), Loss: 0.105, mAP 92.25%
[18/41] 21000), Loss: 0.062, mAP 90.78%
[18/41] 21100), Loss: 0.093, mAP 93.16%
[18/41] 21200), Loss: 0.050, mAP 92.29%
[18/41] 21300), Loss: 0.042, mAP 92.21%
[18/41] 21400), Loss: 0.051, mAP 94.47%
[18/41] 21500), Loss: 0.059, mAP 92.68%
[18/41] 21600), Loss: 0.061, mAP 94.08%
[19/41] 21700), Loss: 0.064, mAP 93.24%
[19/41] 21800), Loss: 0.041, mAP 91.05%
[19/41] 21900), Loss: 0.074, mAP 94.62%
[19/41] 22000), Loss: 0.067, mAP 92.06%
[19/41] 22100), Loss: 0.046, mAP 94.75%
[19/41] 22200), Loss: 0.070, mAP 90.60%
[19/41] 22300), Loss: 0.080, mAP 90.24%
[19/41] 22400), Loss: 0.149, mAP 91.93%
[19/41] 22500), Loss: 0.058, mAP 91.09%
[19/41] 22600), Loss: 0.125, mAP 92.48%
[19/41] 22700), Loss: 0.033, mAP 92.71%
[19/41] 22800), Loss: 0.061, mAP 94.31%
[20/41] 22900), Loss: 0.084, mAP 93.16%
[20/41] 23000), Loss: 0.039, mAP 93.28%
[20/41] 23100), Loss: 0.072, mAP 94.74%
