nohup: ignoring input
Using GPU 2
Start training, lr: 0.001000, batch-size: 10
Model: resnet101
Checkpoint Path: ../checkpoints/
Time: 190514_1531
Training from past model: /home/tsinghuaee13/checkpoints/resnet101_190513_1753_036.pth
[25/41] 29200), Loss: 0.028, mAP 98.38%
[25/41] 29300), Loss: 0.048, mAP 94.19%
[25/41] 29400), Loss: 0.033, mAP 95.70%
[25/41] 29500), Loss: 0.027, mAP 96.71%
[25/41] 29600), Loss: 0.022, mAP 95.43%
[25/41] 29700), Loss: 0.057, mAP 96.78%
[25/41] 29800), Loss: 0.036, mAP 95.84%
[25/41] 29900), Loss: 0.047, mAP 94.24%
[25/41] 30000), Loss: 0.073, mAP 93.39%
[26/41] 30100), Loss: 0.075, mAP 95.80%
[26/41] 30200), Loss: 0.054, mAP 94.21%
[26/41] 30300), Loss: 0.020, mAP 94.80%
[26/41] 30400), Loss: 0.074, mAP 95.57%
[26/41] 30500), Loss: 0.074, mAP 95.38%
[26/41] 30600), Loss: 0.038, mAP 94.45%
[26/41] 30700), Loss: 0.026, mAP 96.09%
[26/41] 30800), Loss: 0.106, mAP 93.91%
[26/41] 30900), Loss: 0.068, mAP 96.77%
[26/41] 31000), Loss: 0.047, mAP 96.25%
[26/41] 31100), Loss: 0.043, mAP 95.01%
[26/41] 31200), Loss: 0.022, mAP 94.96%
Saved: ../checkpoints/
TESTING: 31278), mAP 94.29%
[27/41] 31300), Loss: 0.083, mAP 96.29%
[27/41] 31400), Loss: 0.034, mAP 97.36%
[27/41] 31500), Loss: 0.031, mAP 91.96%
[27/41] 31600), Loss: 0.041, mAP 96.36%
[27/41] 31700), Loss: 0.038, mAP 95.86%
[27/41] 31800), Loss: 0.065, mAP 94.07%
[27/41] 31900), Loss: 0.029, mAP 96.53%
[27/41] 32000), Loss: 0.029, mAP 97.10%
[27/41] 32100), Loss: 0.042, mAP 95.76%
[27/41] 32200), Loss: 0.057, mAP 94.85%
[27/41] 32300), Loss: 0.091, mAP 95.59%
